Назва елемента,ID документа,Категорія,Версія,Статус,Власник,Опис (Inferred),Джерело
Excel,DOC-CAPA-018,Data & Analytics,1.0.0,Draft,AI-OS Architecture,Таблична обробка даних та базовий аналіз за допомогою електронних таблиць.,36
Teaching,DOC-CAPA-019,Education,1.0.0,Draft,AI-OS Architecture,Модуль навчання та передачі знань всередині екосистеми AI-OS.,36
Technical Writing,DOC-CAPA-020,Communication,1.0.0,Draft,AI-OS Architecture,Створення технічної документації та описів архітектурних рішень.,36
Capability Index,DOC-CAPA-008,Index,1.1.0,Active,AI-OS Architecture,Централізований каталог усіх модулів можливостей для управління та управління системою.,36
Capability Blueprint,DOC-CAPA-003,Capability Layer / Governance Standard,1.0.1,Active,AI-OS Architecture,"Стандарт проектування, документування та підтримки модулів можливостей для забезпечення інтеграції та масштабованості в межах Capability Layer.",37
Core Identity,Не вказано в джерелі,Architectural Foundation,Не вказано в джерелі,Не вказано в джерелі,AI-OS Architecture,"Базовий компонент, що визначає ідентичність системи та відповідає за фундаментальні принципи самоідентифікації AI-OS.",37
Core Execution Engine,Не вказано в джерелі,Execution Layer,Не вказано в джерелі,Не вказано в джерелі,AI-OS Architecture,"Основний механізм виконання процесів у системі, з яким повинні взаємодіяти модулі можливостей.",37
AI-OS Architectural Principles,Не вказано в джерелі,Architecture,Не вказано в джерелі,Не вказано в джерелі,AI-OS Architecture,"Набір основоположних архітектурних принципів, які регулюють розробку та взаємодію всіх компонентів платформи.",37
AI-OS Document Template,DOC-ARCH-007,Architecture Layer,1.1.0,Active,AI-OS Architecture,Шаблон для створення нових документів у системі AI-OS із визначеною структурою метаданих та розділами.,38
AI-OS Document Metadata Standard,Не вказано в джерелі,Architecture Layer,1.0.0 (типова),Active,AI-OS Architecture,"Стандарт, що визначає канонічні значення метаданих, ідентифікатори (DOC--) та статуси документів.",38
AI-OS Document Registry,Не вказано в джерелі,Architecture Layer,1.0.0 (типова),Active,AI-OS Architecture,Центральний реєстр для реєстрації всіх офіційних документів платформи перед набуттям ними активного статусу.,38
AI-OS Design Principles,"DP-001, DP-003, DP-007",Architecture Layer,1.0.0 (типова),Active,AI-OS Architecture,"Набір основоположних архітектурних принципів та вимог (RFC 2119), якими керується розробка системи.",38
Change_Log_day.md,Не вказано в джерелі,Architecture Layer,1.0.0 (типова),Active,AI-OS Architecture,"Журнал реєстрації змін, що реалізує політику обов'язкового логування перед оновленням документації.",38
Посібник з написання можливостей (Capability Writing Guide),DOC-CAPA-004,Стандарт управління (Governance Standard),1.0.1,Активний,AI-OS Architecture,"Встановлює офіційні стандарти для написання, документування та підтримки модулів можливостей (Capability Modules), забезпечуючи узгодженість та взаємодію в межах платформи.",39
Основний механізм виконання (Core Execution Engine),Не вказано в джерелі,Модуль виконання,Не вказано в джерелі,Не вказано в джерелі,AI-OS Architecture,"Центральний компонент системи, відповідальний за логіку виконання операцій та управління життєвим циклом завдань в екосистемі AI-OS.",39
Архітектурні принципи AI-OS (AI-OS Architectural Principles),Не вказано в джерелі,Архітектурні принципи,Не вказано в джерелі,Не вказано в джерелі,AI-OS Architecture,"Фундаментальні правила та настанови, що визначають структуру, взаємодію компонентів та стратегію розвитку всієї архітектури AI-OS.",39
Ядро ідентичності (Core Identity),Не вказано в джерелі,Модуль платформи,Не вказано в джерелі,Не вказано в джерелі,AI-OS Architecture,"Система управління автентифікацією, авторизацією та цифровими профілями сутностей у середовищі AI-OS.",39
Глосарій AI-OS (Glossary),Не вказано в джерелі,Документаційні стандарти,Не вказано в джерелі,Не вказано в джерелі,AI-OS Architecture,"Офіційний перелік термінів та визначень, що використовуються для забезпечення єдиного розуміння понять у межах проекту.",39
Capability Registry,DOC-CAPA-002,Capability Layer,1.0.1,Active,AI-OS Architecture,"Компонент маршрутизації та оркестрації, що визначає правила управління модулями здібностей та вибору компетенцій для запитів.",40
Core Execution Engine,Не вказано в джерелі,Execution Layer,Не вказано в джерелі,Не вказано в джерелі,AI-OS Architecture,"Основний модуль виконання, відповідальний за обробку та реалізацію робочих процесів у системі.",40
AI-OS Architectural Principles,Не вказано в джерелі,Architectural Level,Не вказано в джерелі,Не вказано в джерелі,AI-OS Architecture,"Фундаментальні принципи проектування, що забезпечують цілісність та стандартизацію архітектури системи.",40
Capability Blueprint,Не вказано в джерелі,Capability Layer,Не вказано в джерелі,Не вказано в джерелі,AI-OS Architecture,Технічний шаблон для проектування та структурування нових модулів здібностей.,40
Capability Dependency Matrix,Не вказано в джерелі,Capability Layer,Не вказано в джерелі,Не вказано в джерелі,AI-OS Architecture,"Документ, що описує взаємозв'язки та залежності між різними модулями здібностей.",40
Core Identity,DOC-CORE-001,Модуль виконання (Core Layer),1.0.0,Активний,AI-OS Architecture,"Визначає роль, місію, основні цінності, пріоритети прийняття рішень та стиль комунікації системи.",41
Core Execution Engine,DOC-CORE-002,Модуль виконання (Core Layer),1.0.0,Активний,AI-OS Architecture,"Встановлює модель виконання, аналіз вимог, вибір стратегії та управління невизначеністю.",41
Core Change Log,DOC-CORE-003,Архітектурні принципи та логування,1.0.0,Активний,AI-OS Architecture,Забезпечує простежуваність та прозорість управління для найбільш стабільного рівня архітектури.,41
Analyze,DOC-EXEC-013,Analysis,1.0.0,Draft,AI-OS Architecture,"Аналіз проблем, вимог, архітектури, даних та коду в межах системи.",42
Generate,DOC-EXEC-014,Generation,1.0.0,Draft,AI-OS Architecture,"Генерація промптів, документації, звітів, вихідного коду та презентацій.",42
Validate,DOC-EXEC-015,Validation,1.0.0,Draft,AI-OS Architecture,"Забезпечення якості, перевірка відповідності, комплаєнс та контроль узгодженості.",42
Optimize,DOC-EXEC-016,Optimization,1.0.0,Draft,AI-OS Architecture,"Удосконалення, оптимізація продуктивності, спрощення та покращення супроводжуваності.",42
Develop AI Assistant,DOC-EXEC-017,Development,1.0.0,Draft,AI-OS Architecture,"Підтримка розробки програмного забезпечення, систем штучного інтелекту та автоматизації.",42
Teach SQL,DOC-EXEC-018,Education,1.0.0,Draft,AI-OS Architecture,"Навчання, менторство, коучинг та оцінювання знань у сфері SQL та баз даних.",42
Execution Index,DOC-EXEC-011,Execution Layer Infrastructure,1.0,Active,AI-OS Architecture,"Централізований каталог модулів виконання для навігації, управління життєвим циклом та управління.",42
Core Identity,DOC-EXEC-010-DEP-01,Залежність виконання,Current,Active,Architecture Team,Визначає ідентичність штучного інтелекту в системі та забезпечує базові параметри самоусвідомлення модуля.,43
Core Execution Engine,DOC-EXEC-010-DEP-02,Залежність виконання,Current,Active,Execution Layer Lead,Керує поведінкою виконання та забезпечує роботу середовища для всіх модулів.,43
Documentation Standards,DOC-EXEC-010-DEP-03,Залежність виконання,Current,Active,Quality Assurance,Забезпечує узгодженість документації та відповідність встановленим стандартам опису.,43
Capability Module,DOC-EXEC-010-DEP-04,Залежність виконання,Variable,Active,Domain Expert,Надає специфічні галузеві знання та функціональні можливості для виконання завдань.,43
Execution Template,DOC-EXEC-010-DEP-05,Залежність виконання,Current,Active,Architecture Team,Забезпечує структурну цілісність модулів через використання стандартизованих шаблонів.,43
Architectural Principles,DOC-EXEC-010-DEP-06,Архітектурні принципи,Current,Active,Chief Architect,Гарантує відповідність модуля загальній архітектурній стратегії та правилам проектування AI-OS.,43
Execution Module Template,DOC-EXEC-002,Execution (Execution Module),1.0.0,Draft,AI-OS Architecture,"Стандартизований шаблон для створення нових модулів виконання, що забезпечує узгодженість та відповідність архітектурним стандартам AI-OS.",44
Core Identity,Не вказано в джерелі,Архітектурні принципи / Документація,Не вказано в джерелі,Не вказано в джерелі,AI-OS Architecture,"Документ, що визначає фундаментальні аспекти ідентифікації сутностей у системі AI-OS.",44
Core Execution Engine,Не вказано в джерелі,Модулі виконання,Не вказано в джерелі,Не вказано в джерелі,AI-OS Architecture,"Центральний механізм виконання, відповідальний за обробку та управління потоками завдань.",44
AI-OS Design Principles,Не вказано в джерелі,Архітектурні принципи,Не вказано в джерелі,Не вказано в джерелі,AI-OS Architecture,"Набір основних принципів проектування, які керують розробкою та еволюцією всієї платформи.",44
Execution Module Specification,Не вказано в джерелі,Специфікації,Не вказано в джерелі,Не вказано в джерелі,AI-OS Architecture,"Технічна специфікація, що визначає обов'язкові вимоги та інтерфейси для модулів виконання.",44
Execution Lifecycle,DOC-EXEC-009,Execution Layer,1.0,Active,AI-OS Architecture Team,"Визначає стандартні етапи життєвого циклу модулів виконання, включаючи розробку, розгляд, впровадження та виведення з експлуатації.",45
Capability Change Log,DOC-CAPA-009,Capability Layer,1.0.1,Active,AI-OS Architecture,"Журнал змін для відстеження історичних записів, версійності та управління змінами в модулях можливостей.",46
Prompt Engineering,DOC-CAPA-011,Capability Module,1.0.0,Active,AI-OS Architecture,"Модуль, призначений для розробки та оптимізації запитів (промптів) для штучного інтелекту.",46
AI Strategy,DOC-CAPA-012,Capability Module,1.0.0,Active,AI-OS Architecture,Модуль для стратегічного планування та впровадження рішень на базі ШІ.,46
Data Analytics,DOC-CAPA-013,Capability Module,1.0.0,Active,AI-OS Architecture,Модуль для аналізу даних та виявлення закономірностей у наборах інформації.,46
Statistics,DOC-CAPA-014,Capability Module,1.0.0,Active,AI-OS Architecture,Модуль для статистичної обробки та математичного моделювання даних.,46
SQL,DOC-CAPA-015,Capability Module,1.0.0,Active,AI-OS Architecture,Модуль для взаємодії з реляційними базами даних та управління даними за допомогою SQL.,46
Python,DOC-CAPA-016,Capability Module,1.0.0,Active,AI-OS Architecture,"Модуль, що забезпечує виконання коду на мові Python для автоматизації та аналізу.",46
Power BI,DOC-CAPA-017,Capability Module,1.0.0,Active,AI-OS Architecture,Модуль для візуалізації даних та створення інтерактивних бізнес-звітів.,46
Excel,DOC-CAPA-018,Capability Module,1.0.0,Active,AI-OS Architecture,Модуль для роботи з електронними таблицями та проведення розрахунків.,46
Teaching,DOC-CAPA-019,Capability Module,1.0.0,Active,AI-OS Architecture,"Модуль, орієнтований на освітні функції та передачу знань у системі.",46
Technical Writing,DOC-CAPA-020,Capability Module,1.0.0,Active,AI-OS Architecture,Модуль для створення технічної документації та специфікацій.,46
Специфікація модуля виконання,DOC-EXEC-001,Шаблони,1.1.0,Чернетка,AI-OS Architecture,Стандартизований шаблон для створення технічних специфікацій модулів виконання в системі AI-OS.,47
Шаблон модуля виконання,DOC-EXEC-002,Шаблони,1.1.0,Чернетка,AI-OS Architecture,Базовий шаблон структури модуля виконання для забезпечення однотипності розробки.,47
Шаблон документа AI-OS,DOC-ARCH-007,Шаблони,1.1.0,Чернетка,AI-OS Architecture,Універсальний шаблон для оформлення будь-якої офіційної документації в рамках архітектури AI-OS.,47
Специфікація модуля можливостей,DOC-CAPA-001,Шаблони,1.1.0,Чернетка,AI-OS Architecture,Шаблон для опису функціональних можливостей та характеристик модулів рівня Capability.,47
Execution Change Log,DOC-EXEC-012,Execution Layer,1.0,Active,AI-OS Architecture,Документ для відстеження значних архітектурних та структурних змін у рівні виконання AI-OS для забезпечення прозорості та управління.,48
Analyze Module,DOC-EXEC-013,Execution Modules,1.1.0,Active,AI-OS Architecture,"Модуль виконання, призначений для аналітичних операцій у межах системи.",48
Generate Module,DOC-EXEC-014,Execution Modules,1.1.0,Active,AI-OS Architecture,"Модуль виконання, що відповідає за генерацію контенту або даних.",48
Validate Module,DOC-EXEC-015,Execution Modules,1.1.0,Active,AI-OS Architecture,Модуль виконання для перевірки та валідації результатів роботи системи.,48
Optimize Module,DOC-EXEC-016,Execution Modules,1.1.0,Active,AI-OS Architecture,"Модуль виконання, зосереджений на оптимізації процесів та алгоритмів.",48
Develop AI Assistant Module,DOC-EXEC-017,Execution Modules,1.1.0,Active,AI-OS Architecture,Спеціалізований модуль для розробки та вдосконалення функцій ШІ-асистентів.,48
Teach SQL Module,DOC-EXEC-018,Execution Modules,1.1.0,Active,AI-OS Architecture,"Освітній модуль виконання, призначений для навчання або обробки SQL-запитів.",48
AI-OS Architectural Principles,Не вказано,Architecture,Не вказано,Active,AI-OS Architecture,"Основоположні принципи, що визначають архітектурний дизайн та стандарти системи AI-OS.",48
Capability Review Standard,DOC-CAPA-005,Стандарт управління (Governance Standard),1.0.1,Draft,AI-OS Architecture,Встановлює обов'язковий процес перевірки та валідації модулів можливостей перед їх інтеграцією в систему.,49
Capability Lifecycle,DOC-CAPA-006,Стандарт управління (Governance Standard),1.0.1,Active,AI-OS Architecture,"Визначає етапи життєвого циклу модулів можливостей від ідеї до архівації, включаючи правила переходу між стадіями.",50
Core Execution Engine,Не вказано,Модуль виконання,Не вказано,Не вказано,AI-OS Architecture,"Основний механізм виконання системи, що забезпечує роботу базових функцій та обробку команд.","49, 50"
AI-OS Architectural Principles,Не вказано,Архітектурні принципи,Не вказано,Не вказано,AI-OS Architecture,"Звід основоположних правил та принципів, що визначають структуру та логіку побудови архітектури AI-OS.","49, 50"
Capability Blueprint,Не вказано,Документація модулів,Не вказано,Не вказано,AI-OS Architecture,"Технічний шаблон або проект, що описує структуру та вимоги до створення нових модулів можливостей.","49, 50"
Capability Registry,Не вказано,Адаптер/Реєстр платформи,Не вказано,Не вказано,AI-OS Architecture,"Централізований реєстр для обліку, пошуку та управління доступними модулями можливостей у системі.","49, 50"
SSOT (Single Source of Truth),DP-001,Архітектурний принцип,Not in source,Active,System Architect,"Принцип, що вимагає наявності лише одного авторитетного джерела для будь-якої концепції або правила.",51
DRY (Don't Repeat Yourself),DP-003,Архітектурний принцип,Not in source,Active,System Architect,"Принцип, спрямований на усунення дублювання знань або логіки в системі.",51
Generate,DOC-EXEC-014,Execution Module,Not in source,Active,Automation Lead,"Модуль виконання, що відповідає за створення артефактів (коду, документів, промптів) з дотриманням SSOT/DRY.",51
Execution Review Standard,03_Execution_Review_Standard,Quality Assurance,Not in source,In Use,Quality Assurance Team,"Стандарт для проведення архітектурного огляду, валідації залежностей та оцінки якості модулів.",45
Execution Blueprint,01_Execution_Blueprint,Architecture,Not in source,Active,System Architects,Основоположний архітектурний план для рівнів виконання в системі AI-OS.,45
Capability Module Specification,Not in source,Специфікація модуля,Not in source,Active,Architecture Team,"Стандарт, що визначає структуру та технічні вимоги до створення модулів компетенцій.",51
Capability Blueprint,Not in source,Архітектурна модель,Not in source,Active,Architecture Team,Архітектурний шаблон для проєктування модулів компетенцій.,51
Capability Writing Guide,Not in source,Керівництво,Not in source,Active,Content Strategy,Інструкція з написання документації для модулів компетенцій.,51
Execution Module Specification,Not in source,Специфікація модуля,Not in source,Active,Architecture Team,"Документ, що визначає входи, виходи та процеси виконання для модулів рівня Execution.",51
AI-OS Glossary,Not in source,Глосарій / Стандарт,Not in source,Active,Governance Board,Єдине джерело істини для всієї термінології та архітектурних концепцій AI-OS.,51
Document Metadata Standard,Not in source,Стандарт,Not in source,Active,Document Control,Визначає канонічні метадані та статуси життєвого циклу документів.,51
AI-OS Document Template,Not in source,Шаблон,Not in source,Active,Document Control,Універсальний шаблон для створення офіційних документів системи.,51
Prompt Engineering,Not in source,Capability Module,Not in source,Active,AI-OS Architecture,"Модуль, що відповідає за розробку та оптимізацію запитів, може виступати у будь-якій ролі та рекомендується в парі з AI Strategy.",15
AI Strategy,Not in source,Capability Module,Not in source,Active,AI-OS Architecture,"Модуль стратегічного планування ШІ, сумісний з ролями Primary, Secondary та Supporting.",15
Data Analytics,Not in source,Capability Module,Not in source,Active,AI-OS Architecture,"Модуль для аналізу даних, рекомендований до використання зі статистикою та Python.",15
Statistics,Not in source,Capability Module,Not in source,Active,AI-OS Architecture,"Модуль статистичних розрахунків, часто використовується як допоміжний або рекомендований для SQL та аналітики.",15
SQL,Not in source,Capability Module,Not in source,Active,AI-OS Architecture,"Модуль роботи з базами даних, що має рекомендовані залежності від статистики та Power BI.",15
Python,Not in source,Capability Module,Not in source,Active,AI-OS Architecture,"Модуль виконання коду Python, здатний працювати повністю незалежно або в комбінації з модулями аналізу.",15
Power BI,Not in source,Capability Module,Not in source,Active,AI-OS Architecture,"Модуль візуалізації даних, найкраще працює в парі з SQL та Data Analytics.",15
Teaching,Not in source,Capability Module,Not in source,Active,AI-OS Architecture,"Спеціалізований модуль, який не може бути незалежним або основним, а лише підтримує інші модулі.",15
Technical Writing,Not in source,Capability Module,Not in source,Active,AI-OS Architecture,"Модуль технічного документування, що працює як допоміжний до будь-якої основної компетенції.",15
Execution Module Specification,Not in source,Design Standards,Not in source,In Use,AI-OS Engineering,"Специфікація для проєктування процесів виконання, що визначає вхідні/вихідні дані та кроки виконання.",45
AI-OS Architectural Principles,Not in source,Governance,Not in source,Mandatory,Architecture Board,"Набір фундаментальних принципів, що керують розробкою та інтеграцією всіх компонентів AI-OS.",45
